Jahr;Benzin;Diesel;Gas;BEV;Hybrid;Sonstige;Gesamt
2010;30449617;10817769;437945;1588;28862;1846;41737627
2011;30487578;11266644;490178;2307;37256;17600;42301563
2012;30452019;11891375;531105;4541;47642;965;42927647
2013;30206472;12578950;571061;7114;64995;2532;43431124
2014;29956296;13215190;579932;12156;85575;2081;43851230
2015;29837614;13861404;575571;18948;107754;1833;44403124
2016;29825223;14532426;556011;25502;130365;1682;45071209
2017;29978635;15089392;525212;34022;165405;10894;45803560
2018;30451268;15225296;496742;53861;236710;10717;46474594
2019;31031021;15153364;476368;83175;341411;10445;47095784
2020;31464680;15111382;453670;136617;539383;10245;47715977
2021;31435340;15060124;429832;309083;1004089;10116;48248584
2022;31005134;14824262;413790;618460;1669051;10181;48540878
2023;30556538;14437489;407483;1013009;2337897;10620;48763036
2024;30235032;14142184;391144;1408681;2911262;10382;49098685
2025;29918520;13829261;373045;1651643;3556956;9741;49339166
