Jahr;Segment;PKW_Gesamt;BEV
2024;Minis;3303627;244602
2024;Kleinwagen;8594166;238476
2024;Kompaktklasse;11263672;231966
2024;Mittelklasse;5618874;131526
2024;Obere Mittelklasse;1769335;38071
2024;Oberklasse;289983;36462
2024;SUVs;6557662;625572
2024;Gel‰ndewagen;3255701;56097
2024;Sportwagen;920358;58
2024;Mini-Vans;1698695;8283
2024;Groﬂraum-Vans;1781227;6003
2024;Utilities;2152554;25871
2024;Wohnmobile;981010;148
2024;Sonstige;1152302;8508
2023;Minis;3365708;238369
2023;Kleinwagen;8695134;235878
2023;Kompaktklasse;11395875;193837
2023;Mittelklasse;5759363;119365
2023;Obere Mittelklasse;1775431;12137
2023;Oberklasse;291312;32696
2023;SUVs;5969518;487280
2023;Gel‰ndewagen;3143368;49115
2023;Sportwagen;927254;39
2023;Mini-Vans;1766096;6169
2023;Groﬂraum-Vans;1826236;4483
2023;Utilities;2122861;20210
2023;Wohnmobile;907879;117
2023;Sonstige;1152650;8986
