schluessel;sun_cars;e_cars;plug_in_hybrid;benzin_hybrid;diesel_hybrid;gas
08;6970720;268123;162333;266938;108137;40227
09;8413688;317954;168267;323501;146299;45077
11;1232689;41988;28422;76462;14975;11607
12;1492188;33278;21762;58943;13177;12656
04;300985;8337;6216;11625;4816;2485
02;810635;35572;24145;41996;17959;4489
06;3907435;145946;92421;172432;66801;26574
13;888254;14620;9862;29900;8913;5690
03;4982509;176774;82823;144492;56333;44327
05;10630608;366309;225545;420199;149191;120297
07;2647477;83379;45959;94516;30672;17373
10;653594;17071;11592;28331;6921;2890
14;2190467;38571;28789;83405;22316;14103
15;1223609;19343;14668;42985;12369;7669
01;1754018;60539;27966;55135;19061;10405
16;1192603;21921;15507;44804;13427;6802
