date;cars_sum;e_cars
01.01.2025;49.339.166;1.651.643
01.10.2024;49.415.217;1.588.313
01.07.2024;49.388.212;1.528.150
01.04.2024;49.181.380;1.457.496
01.01.2024;49.098.685;1.408.681
01.10.2023;49.147.569;1.307.901
01.07.2023;49.038.145;1.170.632
01.04.2023;48.848.346;1.078.057
01.01.2023;48.763.036;1.013.009
01.10.2022;48.733.413;840.645
01.07.2022;48.692.227;756.517
01.04.2022;48.585.660;687.241
01.01.2022;48.540.878;618.460
01.10.2021;48.648.263;516.518
01.07.2021;48.561.301;438.950
01.04.2021;48.330.988;365.262
01.01.2021;48.248.584;309.083
01.10.2020;48.175.662;221.968
01.07.2020;47.878.709;173.435
01.04.2020;47.739.970;158.880
01.01.2020;47.715.977;136.617
01.10.2019;47.744.878;125.168
01.07.2019;47.601.286;110.295
01.04.2019;47.304.872;97.200
01.01.2019;47.095.784;83.175
01.10.2018;47.144.345;73.398
01.07.2018;46.976.537;67.765
