Bundesland,Anzahl Ladepunkte,Nennleistung_kW,schluessel
Baden-Württemberg,27891,886238.0,08
Bayern,31475,1232477.0,09
Berlin,5718,141350.0,11
Brandenburg,3992,193011.0,12
Bremen,1259,34074.0,04
Hamburg,3425,131654.0,02
Hessen,13106,528211.0,06
Mecklenburg-Vorpommern,2180,107035.0,13
Niedersachsen,16092,703166.0,03
Nordrhein-Westfalen,31302,1149815.0,05
Rheinland-Pfalz,6425,328726.0,07
Saarland,1245,44977.0,10
Sachsen,5863,213644.0,14
Sachsen-Anhalt,2725,139668.0,15
Schleswig-Holstein,6413,235934.0,01
Thüringen,3346,174053.0,16
